Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
265.00	2.7909	973.25	0.0010275	177.87	180.74	0.93114	0.93408	2.3417	610.07	0.25672	114.40	0.12031	0.0061223	75.471	0.013250	397.58	434.56	1.8890	0.82172	1.5615	216.15	15.476	14.017	0.017381
266.00	2.8701	967.92	0.0010331	180.08	183.04	0.93951	0.93488	2.3617	601.31	0.27489	112.48	0.11910	0.0059228	77.891	0.012838	397.37	434.22	1.8838	0.82749	1.5919	215.70	15.319	14.103	0.017621
267.00	2.9509	962.52	0.0010389	182.29	185.36	0.94789	0.93583	2.3828	592.46	0.29389	110.58	0.11789	0.0057247	80.388	0.012440	397.14	433.85	1.8786	0.83337	1.6239	215.24	15.164	14.191	0.017871
268.00	3.0334	957.04	0.0010449	184.52	187.69	0.95629	0.93693	2.4050	583.54	0.31376	108.70	0.11668	0.0055281	82.965	0.012053	396.88	433.45	1.8733	0.83935	1.6575	214.76	15.010	14.282	0.018131
269.00	3.1175	951.48	0.0010510	186.77	190.04	0.96472	0.93818	2.4285	574.54	0.33457	106.85	0.11547	0.0053330	85.626	0.011679	396.61	433.02	1.8680	0.84546	1.6931	214.26	14.857	14.374	0.018403
270.00	3.2033	945.83	0.0010573	189.03	192.41	0.97317	0.93959	2.4534	565.46	0.35639	105.02	0.11425	0.0051394	88.374	0.011316	396.31	432.56	1.8626	0.85168	1.7307	213.75	14.704	14.469	0.018687
271.00	3.2909	940.09	0.0010637	191.30	194.80	0.98165	0.94114	2.4798	556.32	0.37927	103.22	0.11304	0.0049475	91.213	0.010963	395.99	432.06	1.8572	0.85804	1.7705	213.23	14.552	14.567	0.018983
272.00	3.3802	934.26	0.0010704	193.59	197.21	0.99017	0.94283	2.5079	547.11	0.40331	101.43	0.11183	0.0047571	94.148	0.010622	395.64	431.54	1.8517	0.86454	1.8128	212.68	14.401	14.667	0.019294
273.00	3.4713	928.33	0.0010772	195.89	199.63	0.99871	0.94465	2.5377	537.84	0.42859	99.658	0.11061	0.0045684	97.183	0.010290	395.26	430.98	1.8461	0.87119	1.8578	212.13	14.250	14.770	0.019621
274.00	3.5642	922.30	0.0010842	198.22	202.08	1.0073	0.94659	2.5694	528.51	0.45519	97.907	0.10939	0.0043814	100.32	0.0099677	394.86	430.38	1.8405	0.87801	1.9057	211.55	14.098	14.877	0.019964
275.00	3.6589	916.16	0.0010915	200.56	204.55	1.0159	0.94865	2.6033	519.14	0.48324	96.174	0.10817	0.0041961	103.58	0.0096547	394.43	429.75	1.8348	0.88500	1.9569	210.96	13.947	14.987	0.020325
276.00	3.7555	909.90	0.0010990	202.92	207.05	1.0246	0.95082	2.6396	509.71	0.51284	94.457	0.10695	0.0040126	106.95	0.0093505	393.96	429.08	1.8291	0.89218	2.0117	210.35	13.796	15.101	0.020706
277.00	3.8539	903.52	0.0011068	205.30	209.57	1.0333	0.95309	2.6785	500.23	0.54412	92.756	0.10572	0.0038310	110.44	0.0090547	393.47	428.36	1.8232	0.89957	2.0706	209.72	13.645	15.219	0.021108
278.00	3.9542	897.02	0.0011148	207.71	212.12	1.0421	0.95545	2.7203	490.72	0.57723	91.068	0.10449	0.0036511	114.07	0.0087669	392.94	427.60	1.8172	0.90719	2.1341	209.07	13.492	15.342	0.021535
279.00	4.0565	890.37	0.0011231	210.14	214.69	1.0509	0.95791	2.7654	481.15	0.61232	89.394	0.10326	0.0034732	117.83	0.0084868	392.37	426.80	1.8112	0.91504	2.2026	208.41	13.339	15.469	0.021987
